"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "JavaScript React", "HTML", "comment", "blank", "total"
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/hooks/IndTraineeLogin.js", "JavaScript", 0, 33, 0, 0, 0, 0, 3, 13, 49
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/hooks/IndTraineeSignup.js", "JavaScript", 0, 33, 0, 0, 0, 0, 3, 16, 52
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/hooks/InstLogin.js", "JavaScript", 0, 44, 0, 0, 0, 0, 6, 20, 70
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/hooks/InstSignup.js", "JavaScript", 0, 27, 0, 0, 0, 0, 3, 9, 39
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/hooks/useAuthContext.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/hooks/useLogout.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 7, 20
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/index.css", "CSS", 0, 0, 0, 933, 0, 0, 9, 114, 1056
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/About.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 14, 57
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/Acceptreq.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 20, 116
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/AccessDenied.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 8, 41
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/AddCoursePage.js", "JavaScript", 0, 39, 0, 0, 0, 0, 1, 10, 50
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/AddReportPage.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 22, 151
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/Admin.js", "JavaScript", 0, 212, 0, 0, 0, 0, 3, 84, 299
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/AdminLogin.js", "JavaScript", 0, 47, 0, 0, 0, 0, 1, 27, 75
